Patient ID,association,dataset,threshold value,standardized value,,,,,,,,,
I15099,primary auditory cortex (core)_19 pcw_F_12885,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,-1,-1.16518,,,,,,,,,
I15100,pis,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15101,lewis lung carcinoma cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.490619,,,,,,,,,
I15102,cellular_component,COMPARTMENTS Experimental Protein Localization Evidence Scores,1,0.233497,,,,,,,,,
I15103,Sleep Initiation and Maintenance Disorders,CTD Gene-Disease Associations,1,2.35031,,,,,,,,,
I15104,flavone,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15105,BRD-K71726959_N9-isoproplyolomoucine_SKM1_6.0_h_122.55_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I15106,SMAD2_01_248,KnockTF Gene Expression Profiles with Transcription Factor Perturbations,-1,-0.70261,,,,,,,,,
I15107,steroidinduced,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15108,Liver hepatocellular carcinoma_LIHC_TCGA-DD-A1EE-01A-11R-A131-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I15109,covalent,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15110,Idiopathic Pulmonary Fibrosis,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15111,Male Infertility,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I15112,absence,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15113,increasing,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15114,clitocine,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15115,Stereotypic Movement Disorder,CTD Gene-Disease Associations,1,1.22436,,,,,,,,,
I15116,cell lysate,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.417337,,,,,,,,,
I15117,Adenosine triphosphate,DrugBank Drug Targets,1,null,,,,,,,,,
I15118,effects,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15119,cargo,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15120,twofold,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15121,GTEX-WWYW-0526-SM-3NB2W,GTEx Tissue Sample Gene Expression Profiles,-1,-0.877475,,,,,,,,,
I15122,Variegate Porphyria,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15123,BRD-K39256324_Rottlerin_MCF7_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I15124,emboliform nucleus,,,,,,,,,,,,
I15125,RK-24466,DeepCoverMOA Drug Mechanisms of Action,-1,null,,,,,,,,,
I15126,proves,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15127,TPCA-1,DeepCoverMOA Drug Mechanisms of Action,1,null,,,,,,,,,
I15128,BRD-K49371609_528116.cdx_PC3_24.0_h_0.09_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I15129,Diabetes Mellitus,,,,,,,,,,,,
I15130,compensatory,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15131,long,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15132,marrows,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15133,induces,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15134,an3ca,HPA Cell Line Gene Expression Profiles,-1,-1.05471,,,,,,,,,
I15135,MYC,ENCODE Transcription Factor Targets,1,null,,,,,,,,,
I15136,Dyskinesia,,,,,,,,,,,,
I15137,liver cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.230656,,,,,,,,,
I15138,Estriol,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I15139,garlic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15140,Perindopril,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I15141,radiographic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15142,predicts,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15143,GTEX-V1D1-0226-SM-4JBHG,GTEx Tissue Sample Gene Expression Profiles,1,1.62227,,,,,,,,,
I15144,hypoxia and p53 in the cardiovascular system,Biocarta Pathways,1,null,,,,,,,,,
I15145,ovary cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.33998,,,,,,,,,
I15146,tract,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15147,establishment of localization,GO Biological Process Annotations,1,null,,,,,,,,,
I15148,glycerophospholipid flippase activity,GO Molecular Function Annotations 2023,1,null,,,,,,,,,
I15149,highaffinity,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15150,Vinorelbine,DrugBank Drug Targets,1,null,,,,,,,,,
I15151,Pemphigoid,,,,,,,,,,,,
I15152,accf,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15153,GTEX-RTLS-0008-SM-48FET,GTEx Tissue Sample Gene Expression Profiles,-1,-1.05413,,,,,,,,,
I15154,hsa-miR-4652-3p,TargetScan Predicted Nonconserved microRNA Targets,1,1.40969,,,,,,,,,
I15155,gastritis; helicobacter infections,GAD Gene-Disease Associations,1,null,,,,,,,,,
I15156,hypotension,GAD Gene-Disease Associations,1,null,,,,,,,,,
I15157,pbmc cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.143594,,,,,,,,,
I15158,increased eosinophil cell number,MPO Gene-Phenotype Associations,1,null,,,,,,,,,
I15159,abcb1abcc4,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15160,Juvenile Arthritis,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15161,Medulloblastoma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15162,cancer,GAD High Level Gene-Disease Associations,1,0.75693,,,,,,,,,
I15163,firstline,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15164,cohort,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15165,Apnea,CTD Gene-Disease Associations,1,1.14575,,,,,,,,,
I15166,megakaryocyte,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.176162,,,,,,,,,
I15167,Blindness,CTD Gene-Disease Associations,1,1.9296,,,,,,,,,
I15168,Phospholipids,dbGAP Gene-Trait Associations,1,0.552134,,,,,,,,,
I15169,pancreatic cancer cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.515317,,,,,,,,,
I15170,foam,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15171,SW 480,Klijn et al.,,,,,,,,,,,
I15172,BRD-K52075040_-666_U937_6.0_h_44.4_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I15173,umbilical cord blood,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.309697,,,,,,,,,
I15174,Porphyria Cutanea Tarda,CTD Gene-Disease Associations,1,1.66663,,,,,,,,,
I15175,hoechst,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15176,discuss,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15177,Epilepsy,,,,,,,,,,,,
I15178,loperamide concentration,GAD Gene-Disease Associations,1,null,,,,,,,,,
I15179,concerns,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15180,inner CP in midinferior temporal cortex,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-0.924663,,,,,,,,,
I15181,plasma membrane,GO Cellular Component Annotations,1,null,,,,,,,,,
I15182,atrial fibrillation,GWASdb SNP-Phenotype Associations,1,0.427171,,,,,,,,,
I15183,dorsal thalamus_8 pcw_M_13058,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,-1,-0.896179,,,,,,,,,
I15184,N-desmethylimatinib,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I15185,hepatocyte,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.35949,,,,,,,,,
I15186,yielded,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15187,affecting,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15188,received,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15189,brain cancer cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.649344,,,,,,,,,
I15190,Phenylbutyrates,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I15191,anchorage,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15192,Chlordecone,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I15193,vincristine_homo sapiens_gpl570_gse7556,GEO Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I15194,Extravasation of Diagnostic and Therapeutic Materials,CTD Gene-Disease Associations,1,1.50903,,,,,,,,,
I15195,offers,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15196,Dyslipidemias,CTD Gene-Disease Associations,1,1.90869,,,,,,,,,
I15197,15785748-Table3,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I15198,automated,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15199,GTEX-X88G-0326-SM-47JZ4,GTEx Tissue Sample Gene Expression Profiles,-1,-0.838835,,,,,,,,,
I15200,SW982,Sanger Dependency Map Cancer Cell Line Proteomics,-1,-2.91216,,,,,,,,,
I15201,much,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15202,primary auditory cortex (core)_25 pcw_F_12948,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,1,1.21761,,,,,,,,,
I15203,rate,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15204,Urinary Incontinence,CTD Gene-Disease Associations,1,2.20735,,,,,,,,,
I15205,talinolol,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15206,related,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15207,suppressed,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15208,hypericin,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I15209,kbv200,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15210,substance dependence,GWASdb SNP-Disease Associations,1,0.202467,,,,,,,,,
I15211,Nausea And Vomiting,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I15212,NB17,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I15213,reproductive system,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,2.0284,,,,,,,,,
I15214,tm2,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15215,Lupus Erythematosus,,,,,,,,,,,,
I15216,BRD-K04546108_JAK3 Inhibitor VI_PC3_24.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I15217,posttranscriptionally,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15218,venlafaxine,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I15219,census,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15220,Veliparib,DeepCoverMOA Drug Mechanisms of Action,1,null,,,,,,,,,
I15221,sxrmediated,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15222,Adult Fibrosarcoma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15223,patterns,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15224,selective,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15225,Acute Biphenotypic Leukemia,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15226,pouchitis,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15227,18alpha-glycyrrhetinic acid,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I15228,clearance,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15229,BRD-K74710236_-666_ASC_24.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,,,,,,,,,
I15230,MYC,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I15231,pharmacoresistant,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15232,15831697-TableS2,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I15233,PMC7686704__F8,Wikipathways PFOCR,1,null,,,,,,,,,
I15234,Anemia,CTD Gene-Disease Associations,1,2.53066,,,,,,,,,
I15235,artery,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.407073,,,,,,,,,
I15236,Hypokalemia,CTD Gene-Disease Associations,1,2.28188,,,,,,,,,
I15237,CLPP_KO_GDS4791_106_mouse_liver,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,1,null,,,,,,,,,
I15238,thp1,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15239,Pain,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I15240,tap1,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15241,Thromboembolism,CTD Gene-Disease Associations,1,1.99827,,,,,,,,,
I15242,GTEX-P4PP-0005-SM-2HMKX,GTEx Tissue Sample Gene Expression Profiles,-1,-0.865953,,,,,,,,,
I15243,oland,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15244,experimental,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15245,copies,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15246,BRD-A74904029_EI-231_PHH_24.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,,,,,,,,,
I15247,fully,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15248,MAGI1,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I15249,Hypertension,,,,,,,,,,,,
I15250,motif,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15251,seen,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15252,Lung adenocarcinoma_LUAD_TCGA-55-8094-01A-11R-2241-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I15253,59M,Klijn et al.,,,,,,,,,,,
I15254,doxorubicinsensitive,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15255,GTEX-X638-0008-SM-47JZ7,GTEx Tissue Sample Gene Expression Profiles,-1,-1.73728,,,,,,,,,
I15256,Acute Myeloid Leukemia_LAML_TCGA-AB-2898-03A-01T-0735-13,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I15257,Skin Cutaneous Melanoma_SKCM_TCGA-D3-A3BZ-06A-12R-A18S-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I15258,genotypic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15259,Shock,,,,,,,,,,,,
I15260,antiemetic response,GAD Gene-Disease Associations,1,null,,,,,,,,,
I15261,Multiple Myeloma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15262,acquiring,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15263,Hydrocortisone,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I15264,p53,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15265,OVTOKO,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I15266,Cross Infection,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I15267,PC-14,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I15268,GTEX-N7MT-0011-R8a-SM-2I5GU,GTEx Tissue Sample Gene Expression Profiles,1,1.19392,,,,,,,,,
I15269,Lung squamous cell carcinoma_LUSC_TCGA-85-7710-11A-01R-2125-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I15270,17409455-TableS3,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I15271,8-Hydroxycarvedilol,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I15272,leukemia,,,,,,,,,,,,
I15273,14695196-Table4,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I15274,rmg-i cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.326432,,,,,,,,,
I15275,abctransporters,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15276,tipifarnib,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I15277,genitourinary neoplasms; urogenital neoplasms,GAD Gene-Disease Associations,1,null,,,,,,,,,
I15278,vascular endothelial cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.585625,,,,,,,,,
I15279,MYC_MCF-7_hg19_2,ENCODE Transcription Factor Binding Site Profiles,1,null,,,,,,,,,
I15280,normal menstrual cycles,GAD Gene-Disease Associations,1,null,,,,,,,,,
I15281,placement,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15282,let7g,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15283,abnormality of the intestine,HPO Gene-Disease Associations,1,null,,,,,,,,,
I15284,Hypercholesterolemia,CTD Gene-Disease Associations,1,2.37855,,,,,,,,,
I15285,et1,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15286,ERP44,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I15287,Adult T Acute Lymphoblastic Leukemia,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15288,approved,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15289,quetiapine,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I15290,ANLN,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I15291,abolish,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15292,rotation,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15293,illustrate,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15294,adults,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15295,cytometry,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15296,spanning component of membrane,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,1.82592,,,,,,,,,
I15297,primary auditory cortex (core)_2 yrs_F_12979,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,1,2.05031,,,,,,,,,
I15298,quantified,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15299,apo,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15300,disease of metabolism,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.460883,,,,,,,,,
I15301,mRNA_POU5F1_19796622,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,-1,null,,,,,,,,,
I15302,Skin Diseases,,,,,,,,,,,,
I15303,GCT,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I15304,PMC2238877__F4,Wikipathways PFOCR,1,null,,,,,,,,,
I15305,apoai,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15306,eosinophilia,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15307,examined,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15308,presented,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15309,dorsolateral prefrontal cortex_4 mos_M_12889,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,1,0.919584,,,,,,,,,
I15310,Skin Cutaneous Melanoma_SKCM_TCGA-D3-A2JL-06A-11R-A18S-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I15311,extracellular vesicular exosome,GO Cellular Component Annotations,1,null,,,,,,,,,
I15312,GTEX-UJHI-0008-SM-4IHL1,GTEx Tissue Sample Gene Expression Profiles,-1,-2.27908,,,,,,,,,
I15313,deep layers of olfactory entorhinal cortex,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-0.880213,,,,,,,,,
I15314,Erythroblastosis,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15315,Traditional Serrated Adenoma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15316,taxolresistant,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15317,pxrwhich,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15318,Nervous System Diseases,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I15319,UO31,BioGPS Cell Line Gene Expression Profiles,1,0.857093,,,,,,,,,
I15320,product,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15321,GTEX-VJYA-0526-SM-4KL1R,GTEx Tissue Sample Gene Expression Profiles,1,2.19413,,,,,,,,,
I15322,Lung adenocarcinoma_LUAD_TCGA-49-6744-11A-01R-1858-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I15323,bone disease,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.569163,,,,,,,,,
I15324,adjuvant,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15325,then,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15326,central portion of GPi,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-1.06643,,,,,,,,,
I15327,ccrf-cem cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.39238,,,,,,,,,
I15328,triple,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15329,H3K27me3_ES-Bruce4_mm9_1,ENCODE Transcription Factor Binding Site Profiles,1,null,,,,,,,,,
I15330,variability,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15331,mediodorsal nucleus of thalamus_2 yrs_F_12979,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,1,0.9986,,,,,,,,,
I15332,Sudden Unexplained Death In Epilepsy,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15333,primitive,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15334,calcein AM,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I15335,estradiol_mus musculus_gpl4134_gse23072,GEO Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I15336,Intracranial Meningioma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15337,peripheral blood lymphocyte,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.583621,,,,,,,,,
I15338,orbital frontal cortex_9 pcw_M_12833,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,-1,-0.944558,,,,,,,,,
I15339,Medulloblastoma,CTD Gene-Disease Associations,1,1.04868,,,,,,,,,
I15340,BRD-K88573743_A443654_HEPG2_24_h_0.12_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I15341,Childhood Nephrotic Syndrome,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15342,Chromosomal Translocation,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I15343,fmo3a923g,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15344,GTEX-PLZ6-0226-SM-3P61I,GTEx Tissue Sample Gene Expression Profiles,1,1.78651,,,,,,,,,
I15345,H3K27me3_erythroblast_mm9_2,ENCODE Transcription Factor Binding Site Profiles,1,null,,,,,,,,,
I15346,molecular_function,GO Molecular Function Annotations,1,null,,,,,,,,,
I15347,Hypertension,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I15348,Disseminated Intravascular Coagulation,CTD Gene-Disease Associations,1,2.16798,,,,,,,,,
I15349,etiology,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15350,atpase activity,GO Molecular Function Annotations,1,null,,,,,,,,,
I15351,mediates,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15352,abcb1abcg2review,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15353,PMC3730324__F1,Wikipathways PFOCR,1,null,,,,,,,,,
I15354,addition,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15355,increased physiological sensitivity to xenobiotic,MPO Gene-Phenotype Associations,1,null,,,,,,,,,
I15356,UBA7,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I15357,NCI-H1435,Sanger Dependency Map Cancer Cell Line Proteomics,-1,-2.42427,,,,,,,,,
I15358,neuroblastoma cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.512564,,,,,,,,,
I15359,initiation,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15360,EP300_H1-hESC_hg19_1,ENCODE Transcription Factor Binding Site Profiles,1,null,,,,,,,,,
I15361,mesangium,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.214017,,,,,,,,,
I15362,JIMT-1,Klijn et al.,,,,,,,,,,,
I15363,justify,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15364,genewide,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15365,Bone Marrow failure syndromes,CTD Gene-Disease Associations,1,1.36218,,,,,,,,,
I15366,Proctitis,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15367,H3K4me3_megakaryocyte_mm9_1,ENCODE Histone Modification Site Profiles,1,null,,,,,,,,,
I15368,responsiveness,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15369,Lung squamous cell carcinoma_LUSC_TCGA-43-6143-11A-01R-1820-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I15370,Brain Lower Grade Glioma_LGG_TCGA-WY-A858-01A-11R-A36H-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I15371,H3K4me3_liver_mm9_2,ENCODE Histone Modification Site Profiles,1,null,,,,,,,,,
I15372,Exanthema,CTD Gene-Disease Associations,1,2.42667,,,,,,,,,
I15373,jewish,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15374,GTEX-X88G-0008-SM-47JWN,GTEx Tissue Sample Gene Expression Profiles,-1,-1.64399,,,,,,,,,
I15375,pigment,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15376,Skin Toxicity,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15377,transcellular,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15378,bind,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15379,GTEX-N7MT-0011-R10A-SM-2I3E1,GTEx Tissue Sample Gene Expression Profiles,1,0.824744,,,,,,,,,
I15380,GTEX-PLZ6-0008-SM-48TD5,GTEx Tissue Sample Gene Expression Profiles,-1,-0.919541,,,,,,,,,
I15381,SNB19,BioGPS Cell Line Gene Expression Profiles,-1,-1.3724,,,,,,,,,
I15382,protect,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15383,ppp2r3c,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15384,HSD17B4,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I15385,layer IIIb of caudal entorhinal cortex,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-0.864033,,,,,,,,,
I15386,Simvastatin,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I15387,despite,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15388,alleles,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15389,HCC2998,BioGPS Cell Line Gene Expression Profiles,-1,-1.00109,,,,,,,,,
I15390,LRP1B,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I15391,Breast Neoplasms,,,,,,,,,,,,
I15392,BRD-K07303502_Arachidonyl trifluoro-methyl ketone_VCAP_6.0_h_80.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I15393,SERPINH1,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I15394,glycoprotein,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15395,epilepsy,,,,,,,,,,,,
I15396,muscles,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
