Patient ID,association,dataset,threshold value,standardized value
I8017,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8018,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8019,ENCODE Histone Modification Site Profiles,1,null,
I8020,ENCODE Histone Modification Site Profiles,1,null,
I8021,Klijn et al.,,,
I8022,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8023,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8024,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8025,Pathway Commons Protein-Protein Interactions,1,null,
I8026,,,,
I8027,,,,
I8028,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I8029,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8030,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8031,,,,
I8032,CTD Gene-Disease Associations,1,1.03678,
I8033,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8034,GTEx Tissue Sample Gene Expression Profiles,1,0.974507,
I8035,GTEx Tissue Sample Gene Expression Profiles,-1,-0.847851,
I8036,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8037,GTEx Tissue Sample Gene Expression Profiles,1,0.980707,
I8038,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8039,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8040,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8041,MPO Gene-Phenotype Associations,1,null,
I8042,GTEx Tissue Sample Gene Expression Profiles,-1,-1.12886,
I8043,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8044,Pathway Commons Protein-Protein Interactions,1,null,
I8045,GO Molecular Function Annotations,1,null,
I8046,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8047,,,,
I8048,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8049,GTEx Tissue Sample Gene Expression Profiles,-1,-0.986425,
I8050,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8051,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null,
I8052,GEO Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8053,TISSUES Experimental Tissue Protein Expression Evidence Scores,1,0.766457,
I8054,Heiser et al.,,,
I8055,ENCODE Transcription Factor Targets,1,null,
I8056,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,
I8057,CHEA Transcription Factor Targets,1,null,
I8058,Pathway Commons Protein-Protein Interactions,1,null,
I8059,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I8060,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I8061,Pathway Commons Protein-Protein Interactions,1,null,
I8062,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8063,CCLE Cell Line Gene CNV Profiles,1,1.42347,
I8064,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8065,Pathway Commons Protein-Protein Interactions,1,null,
I8066,,,,
I8067,GeneRIF Biological Term Annotations,1,null,
I8068,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,1.3458,
I8069,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8070,CTD Gene-Chemical Interactions,1,null,
I8071,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.08441,
I8072,CCLE Cell Line Gene CNV Profiles,-1,-2.00388,
I8073,CHEA Transcription Factor Binding Site Profiles,1,null,
I8074,GTEx Tissue Sample Gene Expression Profiles,-1,-0.86428,
I8075,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8076,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8077,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8078,ENCODE Histone Modification Site Profiles,1,null,
I8079,GTEx Tissue Sample Gene Expression Profiles,-1,-1.19827,
I8080,GTEx Tissue Sample Gene Expression Profiles,1,0.999437,
I8081,TargetScan Predicted Nonconserved microRNA Targets,1,0.809003,
I8082,GTEx Tissue Sample Gene Expression Profiles,-1,-0.999028,
I8083,COSMIC Cell Line Gene Mutation Profiles,1,null,
I8084,GTEx Tissue Sample Gene Expression Profiles,1,1.45395,
I8085,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8086,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8087,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8088,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8089,Pathway Commons Protein-Protein Interactions,1,null,
I8090,Pathway Commons Protein-Protein Interactions,1,null,
I8091,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.053759,
I8092,GeneRIF Biological Term Annotations,1,null,
I8093,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8094,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,-1,-0.922473,
I8095,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8096,GDSC Cell Line Gene Expression Profiles,1,2.19329,
I8097,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I8098,CTD Gene-Disease Associations,1,1.26917,
I8099,GTEx Tissue Sample Gene Expression Profiles,-1,-1.44493,
I8100,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I8101,GDSC Cell Line Gene Expression Profiles,1,1.4265,
I8102,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8103,GTEx Tissue Sample Gene Expression Profiles,1,0.909514,
I8104,GTEx Tissue Sample Gene Expression Profiles,1,2.48205,
I8105,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8106,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8107,,,,
I8108,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null,
I8109,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8110,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8111,,,,
I8112,GTEx Tissue Sample Gene Expression Profiles,-1,-1.32383,
I8113,CTD Gene-Disease Associations,1,1.03345,
I8114,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,2.04027,
I8115,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8116,CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8117,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8118,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8119,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8120,,,,
I8121,COSMIC Cell Line Gene Mutation Profiles,1,null,
I8122,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8123,GTEx Tissue Sample Gene Expression Profiles,-1,-1.10067,
I8124,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8125,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.268482,
I8126,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8127,GeneRIF Biological Term Annotations,1,null,
I8128,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8129,,,,
I8130,GeneRIF Biological Term Annotations,1,null,
I8131,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I8132,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8133,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8134,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8135,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8136,COSMIC Cell Line Gene Mutation Profiles,1,null,
I8137,CTD Gene-Disease Associations,1,1.21468,
I8138,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8139,Pathway Commons Protein-Protein Interactions,1,null,
I8140,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.45104,
I8141,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.46931,
I8142,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8143,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8144,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-0.921951,
I8145,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.042129,
I8146,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.266069,
I8147,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8148,,,,
I8149,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8150,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8151,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8152,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8153,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8154,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null,
I8155,Pathway Commons Protein-Protein Interactions,1,null,
I8156,GTEx Tissue Sample Gene Expression Profiles,1,0.871475,
I8157,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8158,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.068117,
I8159,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I8160,CHEA Transcription Factor Targets,1,null,
I8161,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8162,,,,
I8163,GO Biological Process Annotations,1,null,
I8164,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8165,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.159732,
I8166,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8167,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.07844,
I8168,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8169,TargetScan Predicted Conserved microRNA Targets,1,0.348832,
I8170,GTEx Tissue Sample Gene Expression Profiles,1,0.850775,
I8171,TargetScan Predicted Nonconserved microRNA Targets,1,1.07142,
I8172,Pathway Commons Protein-Protein Interactions,1,null,
I8173,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8174,GTEx Tissue Sample Gene Expression Profiles,1,1.12921,
I8175,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8176,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8177,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8178,GeneRIF Biological Term Annotations,1,null,
I8179,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8180,GeneRIF Biological Term Annotations,1,null,
I8181,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I8182,GTEx Tissue Sample Gene Expression Profiles,-1,-1.02645,
I8183,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8184,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8185,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.18472,
I8186,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8187,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8188,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8189,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8190,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,1,0.858722,
I8191,GTEx Tissue Sample Gene Expression Profiles,-1,-1.00694,
I8192,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8193,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8194,Pathway Commons Protein-Protein Interactions,1,null,
I8195,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8196,CCLE Cell Line Gene CNV Profiles,-1,-1.98968,
I8197,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-2.01017,
I8198,GTEx Tissue Sample Gene Expression Profiles,1,0.832679,
I8199,,,,
I8200,DisGeNET Gene-Disease Associations,1,null,
I8201,Klijn et al.,,,
I8202,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8203,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8204,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8205,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8206,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8207,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8208,Pathway Commons Protein-Protein Interactions,1,null,
I8209,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I8210,COSMIC Cell Line Gene CNV Profiles,1,2.39327,
I8211,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.55481,
I8212,GTEx Tissue Sample Gene Expression Profiles,-1,-1.00384,
I8213,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8214,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8215,CCLE Cell Line Gene Expression Profiles,-1,-1.83266,
I8216,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,1.51132,
I8217,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8218,TargetScan Predicted Nonconserved microRNA Targets,1,1.55165,
I8219,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.42956,
I8220,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8221,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8222,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8223,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8224,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.342006,
I8225,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,1.24645,
I8226,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8227,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8228,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8229,,,,
I8230,Klijn et al.,,,
I8231,ENCODE Histone Modification Site Profiles,1,null,
I8232,GTEx Tissue Sample Gene Expression Profiles,-1,-0.997307,
I8233,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8234,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8235,Pathway Commons Protein-Protein Interactions,1,null,
I8236,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.471539,
I8237,ENCODE Histone Modification Site Profiles,1,null,
I8238,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8239,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8240,Pathway Commons Protein-Protein Interactions,1,null,
I8241,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-0.974644,
I8242,GEO Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8243,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8244,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8245,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8246,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8247,GTEx Tissue Sample Gene Expression Profiles,1,0.966812,
I8248,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8249,Heiser et al.,,,
I8250,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,1,0.954166,
I8251,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8252,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8253,GDSC Cell Line Gene Expression Profiles,1,2.02618,
I8254,GTEx Tissue Sample Gene Expression Profiles,-1,-1.11657,
I8255,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8256,GTEx Tissue Sample Gene Expression Profiles,1,2.67683,
I8257,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8258,Achilles Cell Line Gene Essentiality Profiles,-1,-1.39304,
I8259,,,,
I8260,Pathway Commons Protein-Protein Interactions,1,null,
I8261,TargetScan Predicted Conserved microRNA Targets,1,1.45615,
I8262,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8263,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8264,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8265,,,,
I8266,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8267,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8268,ENCODE Histone Modification Site Profiles,1,null,
I8269,GeneRIF Biological Term Annotations,1,null,
I8270,GTEx Tissue Sample Gene Expression Profiles,1,1.20378,
I8271,Klijn et al.,,,
I8272,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8273,GTEx Tissue Sample Gene Expression Profiles,-1,-1.53404,
I8274,DisGeNET Gene-Disease Associations,1,null,
I8275,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8276,Pathway Commons Protein-Protein Interactions,1,null,
I8277,GTEx Tissue Sample Gene Expression Profiles,-1,-1.04806,
I8278,TISSUES Curated Tissue Protein Expression Evidence Scores,1,null,
I8279,GeneRIF Biological Term Annotations,1,null,
I8280,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8281,Pathway Commons Protein-Protein Interactions,1,null,
I8282,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.46939,
I8283,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8284,Klijn et al.,,,
I8285,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I8286,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8287,ENCODE Histone Modification Site Profiles,1,null,
I8288,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8289,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8290,GeneRIF Biological Term Annotations,1,null,
I8291,Pathway Commons Protein-Protein Interactions,1,null,
I8292,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8293,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.137096,
I8294,COSMIC Cell Line Gene Mutation Profiles,1,null,
I8295,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null,
I8296,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8297,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8298,GeneRIF Biological Term Annotations,1,null,
I8299,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8300,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8301,CTD Gene-Disease Associations,1,1.15492,
I8302,,,,
I8303,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I8304,GTEx Tissue Sample Gene Expression Profiles,1,0.944602,
I8305,,,,
I8306,,,,
I8307,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8308,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8309,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8310,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8311,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8312,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8313,GTEx Tissue Sample Gene Expression Profiles,-1,-1.19939,
I8314,GTEx Tissue Sample Gene Expression Profiles,1,0.845545,
I8315,Pathway Commons Protein-Protein Interactions,1,null,
I8316,Pathway Commons Protein-Protein Interactions,1,null,
I8317,Pathway Commons Protein-Protein Interactions,1,null,
I8318,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8319,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8320,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8321,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8322,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8323,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8324,Roadmap Epigenomics Histone Modification Site Profiles,1,null,
I8325,CCLE Cell Line Gene Expression Profiles,-1,-1.77367,
I8326,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8327,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8328,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,-1,null,
I8329,GO Biological Process Annotations,1,null,
I8330,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8331,GeneSigDB Published Gene Signatures,1,null,
I8332,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8333,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8334,Pathway Commons Protein-Protein Interactions,1,null,
I8335,GO Biological Process Annotations 2023,1,null,
I8336,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8337,MPO Gene-Phenotype Associations,1,null,
I8338,GTEx Tissue Sample Gene Expression Profiles,1,1.08135,
I8339,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8340,CTD Gene-Disease Associations,1,1.25307,
I8341,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8342,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8343,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8344,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,1,null,
I8345,GTEx Tissue Sample Gene Expression Profiles,-1,-1.16076,
I8346,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8347,GTEx Tissue Sample Gene Expression Profiles,-1,-1.0232,
I8348,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8349,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8350,GO Biological Process Annotations 2023,1,null,
I8351,GEO Signatures of Differentially Expressed Genes for Transcription Factor Perturbations,-1,-2.17902,
I8352,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-1.16892,
I8353,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,1.43387,
I8354,HPA Tissue Sample Gene Expression Profiles,1,2.86136,
I8355,CHEA Transcription Factor Targets,1,null,
I8356,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8357,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.315135,
I8358,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8359,CHEA Transcription Factor Targets,1,null,
I8360,ENCODE Transcription Factor Targets,1,null,
I8361,GeneRIF Biological Term Annotations,1,null,
I8362,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8363,BioGPS Human Cell Type and Tissue Gene Expression Profiles,1,1.03389,
I8364,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8365,CHEA Transcription Factor Targets,1,null,
I8366,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8367,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8368,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8369,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-0.825616,
I8370,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8371,CTD Gene-Disease Associations,1,1.52388,
I8372,HPA Tissue Sample Gene Expression Profiles,1,1.05672,
I8373,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8374,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8375,GTEx Tissue Sample Gene Expression Profiles,1,1.25221,
I8376,GTEx Tissue Sample Gene Expression Profiles,-1,-1.4098,
I8377,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8378,GTEx Tissue Sample Gene Expression Profiles,-1,-1.0001,
I8379,GTEx Tissue Sample Gene Expression Profiles,-1,-0.979806,
I8380,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8381,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8382,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8383,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8384,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8385,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8386,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8387,MSigDB Signatures of Differentially Expressed Genes for Cancer Gene Perturbations,-1,null,
I8388,,,,
I8389,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8390,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8391,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8392,BioGPS Cell Line Gene Expression Profiles,1,1.27172,
I8393,ENCODE Transcription Factor Targets,1,null,
I8394,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8395,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8396,TargetScan Predicted Nonconserved microRNA Targets,1,0.809003,
I8397,CHEA Transcription Factor Binding Site Profiles,1,null,
